Category,Title,Writer,Book_made,Sell_price,Image_uri
한국소설,해가 지는 곳으로,최진영,민음사,"11,700",http://image.kyobobook.co.kr/images/book/large/166/l9788937473166.jpg
한국소설,내게 무해한 사람,최은영,문학동네,"12,150",http://image.kyobobook.co.kr/images/book/large/820/l9788954651820.jpg
한국소설,다섯 번째 감각,김보영,아작,"16,200",http://image.kyobobook.co.kr/images/book/large/603/l9791166686603.jpg
한국소설,브로콜리 펀치,이유리,문학과지성사,"12,600",http://image.kyobobook.co.kr/images/book/large/114/l9788932039114.jpg
한국소설,홍학의 자리,정해연,엘릭시르,"12,600",http://image.kyobobook.co.kr/images/book/large/155/l9788954681155.jpg
한국소설,7년의 밤,정유정,은행나무,"13,050",http://image.kyobobook.co.kr/images/book/large/992/l9788956604992.jpg
한국소설,삼개주막 기담회,오윤희,고즈넉이엔티,"13,500",http://image.kyobobook.co.kr/images/book/large/653/l9791163161653.jpg
한국소설,테헤란로를 걷는 신라공주,이상훈,파람북,"13,950",http://image.kyobobook.co.kr/images/book/large/801/l9791190052801.jpg
한국소설,전지적 독자 시점 PART. 1: 2,싱숑,비채,"12,150",http://image.kyobobook.co.kr/images/book/large/323/l9788934967323.jpg
한국소설,당신 엄마가 당신보다 잘하는 게임,박서련,민음사,"11,700",http://image.kyobobook.co.kr/images/book/large/893/l9788937472893.jpg
한국소설,눈사람 자살 사건,최승호,달아실,"11,700",http://image.kyobobook.co.kr/images/book/large/348/l9791188710348.jpg
한국소설,호수의 일,이현,창비,"12,600",http://image.kyobobook.co.kr/images/book/large/722/l9788936438722.jpg
한국소설,바깥은 여름,김애란,문학동네,"11,700",http://image.kyobobook.co.kr/images/book/large/079/l9788954646079.jpg
한국소설,옷소매 붉은 끝동. 1,강미강,청어람,"10,800",http://image.kyobobook.co.kr/images/book/large/514/l9791104911514.jpg
한국소설,달까지 가자,장류진,창비,"12,600",http://image.kyobobook.co.kr/images/book/large/496/l9788936434496.jpg
한국소설,옷소매 붉은 끝동. 2(완결),강미강,청어람,"9,900",http://image.kyobobook.co.kr/images/book/large/521/l9791104911521.jpg
한국소설,전지적 독자 시점 PART. 1: 3,싱숑,비채,"12,150",http://image.kyobobook.co.kr/images/book/large/330/l9788934967330.jpg
한국소설,전지적 독자 시점 PART. 1: 4,싱숑,비채,"12,150",http://image.kyobobook.co.kr/images/book/large/347/l9788934967347.jpg
한국소설,파과,구병모,위즈덤하우스,"12,600",http://image.kyobobook.co.kr/images/book/large/620/l9791162203620.jpg
한국소설,소설 보다: 겨울 2021,김멜라,문학과지성사,"3,500",http://image.kyobobook.co.kr/images/book/large/312/l9788932039312.jpg
한국소설,보건교사 안은영,정세랑,민음사,"11,700",http://image.kyobobook.co.kr/images/book/large/098/l9788937473098.jpg
한국소설,봄봄 미스터 방 외,황순원,전도현 (엮음),"10,800",http://image.kyobobook.co.kr/images/book/large/464/l9791195847464.jpg
